Time,Weight
13_35_15,0.53
13_35_16,0.56
13_35_17,0.46
13_35_18,0.6
13_35_19,0.55
13_35_20,0.51
13_35_21,0.56
13_35_22,0.56
13_35_23,0.6
13_35_24,0.53
13_35_25,0.57
13_35_26,0.53
13_35_27,0.57
13_35_28,0.54
13_35_29,0.59
13_35_30,0.61
13_35_31,0.52
13_35_32,0.58
13_35_33,0.49
13_35_34,0.53
13_35_35,0.53
13_35_36,0.59
13_35_37,0.55
13_35_38,0.6
13_35_39,0.51
13_35_40,0.54
13_35_41,0.54
13_35_42,0.55
13_35_43,0.58
13_35_44,0.54
13_35_45,0.57
13_35_46,0.61
13_35_47,0.56
13_35_48,0.5
13_35_49,0.55
13_35_51,0.51
13_35_52,0.54
13_35_53,0.5
13_35_54,0.64
13_35_55,0.53
13_35_56,0.65
13_35_57,0.55
13_35_58,0.62
13_35_59,0.55
13_36_00,0.58
13_36_01,0.5
13_36_02,0.59
13_36_03,0.52
13_36_04,0.54
13_36_05,0.48
13_36_06,0.55
13_36_07,0.59
13_36_08,0.65
13_36_09,0.52
13_36_10,0.69
13_36_11,0.35
13_36_12,0.66
13_36_13,0.74
13_36_14,0.9
13_36_15,0.46
13_36_16,0.54
13_36_17,0.48
13_36_18,0.52
13_36_19,0.41
13_36_20,0.5
13_36_21,0.53
13_36_22,0.42
13_36_23,0.53
13_36_24,0.55
13_36_25,0.53
13_36_26,0.48
13_36_27,0.53
13_36_28,0.53
13_36_30,0.53
13_36_31,0.56
13_36_32,0.55
13_36_33,0.58
13_36_34,0.47
13_36_35,0.61
13_36_36,0.5
13_36_37,0.51
13_36_38,0.54
13_36_39,0.61
13_36_40,0.55
13_36_41,0.56
13_36_42,0.6
13_36_43,0.6
13_36_44,0.54
13_36_45,0.51
13_36_46,0.45
13_36_47,0.63
13_36_48,0.57
13_36_49,0.5
13_36_50,0.56
13_36_51,0.57
13_36_52,0.58
13_36_53,0.6
13_36_54,0.49
13_36_55,0.57
13_36_56,0.53
13_36_57,0.56
13_36_58,0.52
13_36_59,0.58
13_37_00,0.47
13_37_01,0.56
13_37_02,0.55
13_37_03,0.52
13_37_04,0.58
13_37_05,0.53
13_37_06,0.49
13_37_07,0.53
13_37_08,0.49
13_37_10,0.65
13_37_11,0.58
13_37_12,0.49
13_37_13,0.57
13_37_14,0.53
13_37_15,0.62
13_37_16,0.66
13_37_17,0.58
13_37_18,0.54
13_37_19,0.64
13_37_20,0.47
13_37_21,0.54
13_37_22,0.17
13_37_23,0.66
13_37_24,0.39
13_37_25,0.59
13_37_26,0.58
13_37_27,0.5
13_37_28,0.47
13_37_29,0.52
13_37_30,0.52
13_37_31,0.57
13_37_32,0.53
13_37_33,0.57
13_37_34,0.59
13_37_35,0.69
13_37_36,0.52
13_37_37,0.56
13_37_38,0.56
13_37_39,0.54
13_37_40,0.57
13_37_41,0.53
13_37_42,0.6
13_37_43,0.6
13_37_44,0.56
13_37_45,0.56
13_37_46,0.57
13_37_47,0.59
13_37_48,0.51
13_37_50,0.56
13_37_51,0.56
13_37_52,0.55
13_37_53,0.55
13_37_54,0.64
13_37_55,0.51
13_37_56,0.57
13_37_57,0.52
13_37_58,0.5
13_37_59,0.52
13_38_00,0.63
13_38_01,0.56
13_38_02,0.59
13_38_03,0.51
13_38_04,0.55
13_38_05,0.49
13_38_06,0.56
13_38_07,0.56
13_38_08,0.58
13_38_09,0.56
13_38_10,0.61
13_38_11,0.54
13_38_12,0.58
13_38_13,0.56
13_38_14,0.59
13_38_15,0.57
13_38_16,0.53
13_38_17,0.56
13_38_18,0.6
13_38_19,0.56
13_38_20,0.58
13_38_21,0.55
13_38_22,0.59
13_38_23,0.54
13_38_24,0.6
13_38_25,0.58
13_38_26,0.6
13_38_27,0.51
13_38_29,0.61
13_38_30,0.56
13_38_31,0.5
13_38_32,0.55
13_38_33,0.59
13_38_34,0.59
13_38_35,0.53
13_38_36,0.45
13_38_37,0.58
13_38_38,0.5
13_38_39,0.57
13_38_40,0.5
13_38_41,0.6
13_38_42,0.58
13_38_43,0.56
13_38_44,0.56
13_38_45,0.59
13_38_46,0.5
13_38_47,0.58
13_38_48,0.55
13_38_49,0.57
13_38_50,0.52
13_38_51,0.51
13_38_52,0.61
13_38_53,0.54
13_38_54,0.55
13_38_55,0.51
13_38_56,0.52
13_38_57,0.51
13_38_58,0.54
13_38_59,0.55
13_39_00,0.64
13_39_01,0.53
13_39_02,0.57
13_39_03,0.57
13_39_04,0.58
13_39_05,0.52
13_39_06,0.53
13_39_07,0.56
13_39_09,0.55
13_39_10,0.62
13_39_11,0.54
13_39_12,0.63
13_39_13,0.5
13_39_14,0.47
13_39_15,0.61
13_39_16,0.48
13_39_17,0.6
13_39_18,0.58
13_39_19,0.47
13_39_20,0.56
13_39_21,0.6
13_39_22,0.54
13_39_23,0.52
13_39_24,0.55
13_39_25,0.57
13_39_26,0.55
13_39_27,0.56
13_39_28,0.64
13_39_29,0.58
13_39_30,0.6
13_39_31,0.65
13_39_32,0.54
13_39_33,0.53
13_39_34,0.55
13_39_35,0.64
13_39_36,0.53
13_39_37,0.59
13_39_38,0.53
13_39_39,0.3
13_39_40,0.6
13_39_41,0.94
13_39_42,0.32
13_39_43,0.39
13_39_44,0.64
13_39_45,0.57
13_39_46,0.54
13_39_48,0.6
13_39_49,0.51
13_39_50,0.71
13_39_51,0.47
13_39_52,0.66
13_39_53,0.53
13_39_54,0.59
13_39_55,0.55
13_39_56,0.49
13_39_57,0.61
13_39_58,0.54
13_39_59,0.58
13_40_00,0.53
13_40_01,0.64
13_40_02,0.61
13_40_03,0.52
13_40_04,0.6
13_40_05,0.52
13_40_06,0.57
13_40_07,0.54
13_40_08,0.57
13_40_09,0.49
13_40_10,0.57
13_40_11,0.51
13_40_12,0.52
13_40_13,0.5
13_40_14,0.72
13_40_15,0.88
13_40_16,0.55
13_40_17,0.51
13_40_18,0.5
13_40_19,0.5
13_40_20,0.59
13_40_21,0.51
13_40_22,0.61
13_40_23,0.51
13_40_24,0.53
13_40_25,0.57
13_40_26,0.56
13_40_28,0.54
13_40_29,0.48
13_40_30,0.59
13_40_31,0.56
13_40_32,0.52
13_40_33,0.55
13_40_34,0.53
13_40_35,0.66
13_40_36,0.51
13_40_37,0.65
13_40_38,0.56
13_40_39,0.56
13_40_40,0.64
13_40_41,0.56
13_40_42,0.54
13_40_43,0.35
13_40_44,0.54
13_40_45,0.56
13_40_46,0.61
13_40_47,0.48
13_40_48,0.6
13_40_49,0.54
13_40_50,0.6
13_40_51,0.4
13_40_52,0.51
13_40_53,0.5
13_40_54,0.6
13_40_55,0.61
13_40_56,0.55
13_40_57,0.55
13_40_58,0.57
13_40_59,0.53
13_41_00,0.63
13_41_01,0.53
13_41_02,0.55
13_41_03,0.57
13_41_04,0.59
13_41_05,0.59
13_41_07,0.55
13_41_08,0.58
13_41_09,0.49
13_41_10,0.61
13_41_11,0.51
13_41_12,0.62
13_41_13,0.58
13_41_14,0.55
13_41_15,0.63
13_41_16,0.57
13_41_17,0.58
13_41_18,0.52
13_41_19,0.58
13_41_20,0.62
13_41_21,0.54
13_41_22,0.58
13_41_23,0.54
13_41_24,0.6
13_41_25,0.54
13_41_26,0.59
13_41_27,0.55
13_41_28,0.39
13_41_29,0.46
13_41_30,0.47
13_41_31,0.63
13_41_32,0.74
13_41_33,0.64
13_41_34,0.65
13_41_35,0.5
13_41_36,0.55
13_41_37,0.48
13_41_38,0.58
13_41_39,0.51
13_41_40,0.55
13_41_41,0.59
13_41_42,0.6
13_41_43,0.5
13_41_44,0.61
13_41_45,0.63
13_41_47,0.51
13_41_48,0.52
13_41_49,0.72
13_41_50,0.56
13_41_51,0.42
13_41_52,0.46
13_41_53,0.44
13_41_54,0.67
13_41_55,0.64
13_41_56,0.61
13_41_57,0.53
13_41_58,0.52
13_41_59,0.59
13_42_00,0.54
13_42_01,0.55
13_42_02,0.52
13_42_03,0.63
13_42_04,0.53
13_42_05,0.56
13_42_06,0.55
13_42_07,0.51
13_42_08,0.61
13_42_09,0.51
13_42_10,0.65
13_42_11,0.5
13_42_12,0.51
13_42_13,0.61
13_42_14,0.5
13_42_15,0.63
13_42_16,0.54
13_42_17,0.6
13_42_18,0.57
13_42_19,0.58
13_42_20,0.53
13_42_21,0.52
13_42_22,0.61
13_42_23,0.52
13_42_24,0.61
13_42_25,0.49
13_42_27,0.52
13_42_28,0.57
13_42_29,0.5
13_42_30,0.68
13_42_31,0.46
13_42_32,0.55
13_42_33,0.54
13_42_34,0.58
13_42_35,0.63
13_42_36,0.54
13_42_37,0.61
13_42_38,0.56
13_42_39,0.68
13_42_40,0.5
13_42_41,0.57
13_42_42,0.54
13_42_43,0.56
13_42_44,0.6
13_42_45,0.47
13_42_46,0.65
13_42_47,0.54
13_42_48,0.6
13_42_49,0.51
13_42_50,0.58
13_42_51,0.53
13_42_52,0.53
13_42_53,0.61
13_42_54,0.52
13_42_55,0.58
13_42_56,0.56
13_42_57,0.59
13_42_58,0.61
13_42_59,0.52
13_43_00,0.6
13_43_01,0.54
13_43_02,0.6
13_43_03,0.55
13_43_04,0.62
13_43_06,0.58
13_43_07,0.59
13_43_08,0.61
