Time,Weight
2024-03-01 18:02:52.538847,0.0
2024-03-01 18:02:53.566745,0.0
2024-03-01 18:02:54.590733,0.0
2024-03-01 18:02:55.618734,0.0
2024-03-01 18:02:56.642895,0.0
2024-03-01 18:02:57.667082,0.0
2024-03-01 18:02:58.695005,0.0
2024-03-01 18:02:59.719066,0.0
2024-03-01 18:03:00.746732,0.0
2024-03-01 18:03:01.771062,0.0
2024-03-01 18:03:02.798728,0.0
2024-03-01 18:03:03.822795,0.0
2024-03-01 18:03:04.850704,0.0
2024-03-01 18:03:05.874778,0.0
2024-03-01 18:03:06.898838,0.0
2024-03-01 18:03:07.926753,0.0
2024-03-01 18:03:08.950818,0.0
2024-03-01 18:03:09.978606,0.0
2024-03-01 18:03:11.002687,0.0
2024-03-01 18:03:12.030598,0.0
2024-03-01 18:03:13.054669,0.0
2024-03-01 18:03:14.078727,0.0
2024-03-01 18:03:15.106651,0.0
2024-03-01 18:03:16.130713,0.0
2024-03-01 18:03:17.154781,0.0
2024-03-01 18:03:18.182713,0.0
2024-03-01 18:03:19.206380,0.0
2024-03-01 18:03:20.234276,0.0
2024-03-01 18:03:21.258330,0.0
2024-03-01 18:03:22.286266,0.0
2024-03-01 18:03:23.310304,0.0
2024-03-01 18:03:24.334715,0.0
2024-03-01 18:03:25.362464,0.0
2024-03-01 18:03:26.386692,0.0
2024-03-01 18:03:27.414498,0.0
2024-03-01 18:03:28.438419,0.0
2024-03-01 18:03:29.466309,0.0
2024-03-01 18:03:30.490382,0.0
2024-03-01 18:03:31.514452,0.0
2024-03-01 18:03:32.542455,0.0
2024-03-01 18:03:33.566421,0.0
2024-03-01 18:03:34.590523,0.0
2024-03-01 18:03:35.618415,0.0
2024-03-01 18:03:36.642474,0.0
2024-03-01 18:03:37.670275,0.0
2024-03-01 18:03:38.694345,0.0
2024-03-01 18:03:39.722257,0.0
2024-03-01 18:03:40.746327,0.0
2024-03-01 18:03:41.770387,0.0
2024-03-01 18:03:42.798310,0.0
2024-03-01 18:03:43.822364,0.0
2024-03-01 18:03:44.850036,0.0
2024-03-01 18:03:45.874388,0.0
2024-03-01 18:03:46.902075,0.0
2024-03-01 18:03:47.926139,0.0
2024-03-01 18:03:48.950291,0.0
2024-03-01 18:03:49.977991,0.0
2024-03-01 18:03:51.002190,0.0
2024-03-01 18:03:52.029986,0.0
2024-03-01 18:03:53.053997,0.0
2024-03-01 18:03:54.081778,0.0
2024-03-01 18:03:55.105757,0.0
2024-03-01 18:03:56.129737,0.0
2024-03-01 18:03:57.153722,0.0
2024-03-01 18:03:58.181919,0.0
2024-03-01 18:03:59.206145,0.0
2024-03-01 18:04:00.233814,0.0
2024-03-01 18:04:01.258011,0.0
2024-03-01 18:04:02.285787,0.0
2024-03-01 18:04:03.309937,0.0
2024-03-01 18:04:04.334006,0.0
2024-03-01 18:04:05.361659,0.0
2024-03-01 18:04:06.385978,0.0
2024-03-01 18:04:07.413647,0.0
2024-03-01 18:04:08.437726,0.0
2024-03-01 18:04:09.461785,0.0
2024-03-01 18:04:10.489535,0.0
2024-03-01 18:04:11.513758,0.0
2024-03-01 18:04:12.541550,0.0
2024-03-01 18:04:13.565629,0.0
2024-03-01 18:04:14.589690,0.0
2024-03-01 18:04:15.617609,0.0
2024-03-01 18:04:16.641685,0.0
2024-03-01 18:04:17.665726,0.0
2024-03-01 18:04:18.693479,0.0
2024-03-01 18:04:19.717349,0.0
2024-03-01 18:04:20.745269,0.0
2024-03-01 18:04:21.769327,0.0
2024-03-01 18:04:22.797227,0.0
2024-03-01 18:04:23.821502,0.0
2024-03-01 18:04:24.849360,0.0
2024-03-01 18:04:25.873429,0.0
2024-03-01 18:04:26.897614,0.0
