Time,Weight
2024-03-02 18:04:01.320097,0.15
2024-03-02 18:04:02.344142,0.17
2024-03-02 18:04:03.372037,0.12
2024-03-02 18:04:04.396027,0.12
2024-03-02 18:04:05.424022,0.18
2024-03-02 18:04:06.448374,0.13
2024-03-02 18:04:07.472482,0.13
2024-03-02 18:04:08.500344,0.16
2024-03-02 18:04:09.524408,0.17
2024-03-02 18:04:10.552079,0.13
2024-03-02 18:04:11.576388,0.1
2024-03-02 18:04:12.604059,0.17
2024-03-02 18:04:13.628375,0.1
2024-03-02 18:04:14.656039,0.2
2024-03-02 18:04:15.680111,0.16
2024-03-02 18:04:16.708028,0.18
2024-03-02 18:04:17.732098,0.19
2024-03-02 18:04:18.756292,0.17
2024-03-02 18:04:19.783858,0.17
2024-03-02 18:04:20.807890,0.15
2024-03-02 18:04:21.835791,0.17
2024-03-02 18:04:22.859882,0.2
2024-03-02 18:04:23.887769,0.06
2024-03-02 18:04:24.912240,0.18
2024-03-02 18:04:25.939906,0.13
2024-03-02 18:04:26.963977,0.12
2024-03-02 18:04:27.991890,0.15
2024-03-02 18:04:29.015945,0.14
2024-03-02 18:04:30.040172,0.14
2024-03-02 18:04:31.067952,0.16
2024-03-02 18:04:32.092139,0.12
2024-03-02 18:04:33.119797,0.16
2024-03-02 18:04:34.144121,0.1
2024-03-02 18:04:35.171784,0.16
2024-03-02 18:04:36.195860,0.1
2024-03-02 18:04:37.223781,0.2
2024-03-02 18:04:38.247828,0.13
2024-03-02 18:04:39.271895,0.12
2024-03-02 18:04:40.299811,0.12
2024-03-02 18:04:41.323919,0.17
2024-03-02 18:04:42.351668,0.16
2024-03-02 18:04:43.375870,0.14
2024-03-02 18:04:44.403665,0.15
2024-03-02 18:04:45.427722,0.19
2024-03-02 18:04:46.455632,0.14
2024-03-02 18:04:47.479712,0.16
2024-03-02 18:04:48.503770,0.17
2024-03-02 18:04:49.531684,0.14
2024-03-02 18:04:50.555759,0.18
2024-03-02 18:04:51.579822,0.09
2024-03-02 18:04:52.607777,0.12
2024-03-02 18:04:53.631806,0.13
2024-03-02 18:04:54.659596,0.15
2024-03-02 18:04:55.683790,0.15
2024-03-02 18:04:56.711584,0.15
2024-03-02 18:04:57.735651,0.14
2024-03-02 18:04:58.763555,0.17
2024-03-02 18:04:59.787637,0.2
2024-03-02 18:05:00.811695,0.18
2024-03-02 18:05:01.839502,0.15
2024-03-02 18:05:02.883081,0.17
2024-03-02 18:05:03.891254,0.13
2024-03-02 18:05:04.915238,0.16
2024-03-02 18:05:05.943238,0.12
2024-03-02 18:05:06.967423,0.15
2024-03-02 18:05:07.991600,0.17
2024-03-02 18:05:09.019262,0.16
2024-03-02 18:05:10.043578,0.15
2024-03-02 18:05:11.071251,0.13
2024-03-02 18:05:12.095439,0.2
2024-03-02 18:05:13.123235,0.14
2024-03-02 18:05:14.147425,0.18
2024-03-02 18:05:15.171494,0.14
2024-03-02 18:05:16.199413,0.18
2024-03-02 18:05:17.223477,0.17
2024-03-02 18:05:18.251137,0.15
2024-03-02 18:05:19.275342,0.16
2024-03-02 18:05:20.303002,0.19
2024-03-02 18:05:21.327117,0.16
2024-03-02 18:05:22.350998,0.12
2024-03-02 18:05:23.378992,0.15
2024-03-02 18:05:24.402980,0.13
2024-03-02 18:05:25.431042,0.1
2024-03-02 18:05:26.455079,0.14
2024-03-02 18:05:27.483022,0.15
2024-03-02 18:05:28.507086,0.13
2024-03-02 18:05:29.531272,0.18
2024-03-02 18:05:30.558955,0.13
2024-03-02 18:05:31.583262,0.16
2024-03-02 18:05:32.610927,0.12
2024-03-02 18:05:33.634999,0.21
2024-03-02 18:05:34.662907,0.12
2024-03-02 18:05:35.686978,0.12
2024-03-02 18:05:36.711162,0.09
2024-03-02 18:05:37.738964,0.05
2024-03-02 18:05:38.763145,0.15
2024-03-02 18:05:39.790859,0.16
2024-03-02 18:05:40.815135,0.21
2024-03-02 18:05:41.842799,0.14
2024-03-02 18:05:42.866870,0.1
2024-03-02 18:05:43.894785,0.09
2024-03-02 18:05:44.918852,0.17
2024-03-02 18:05:45.942947,0.16
2024-03-02 18:05:46.970831,0.14
2024-03-02 18:05:47.994903,0.15
2024-03-02 18:05:49.022694,0.17
2024-03-02 18:05:50.046892,0.14
2024-03-02 18:05:51.074688,0.13
2024-03-02 18:05:52.098752,0.18
2024-03-02 18:05:53.122850,0.11
2024-03-02 18:05:54.150726,0.12
2024-03-02 18:05:55.174789,0.16
2024-03-02 18:05:56.202584,0.14
2024-03-02 18:05:57.226773,0.12
2024-03-02 18:05:58.254560,0.14
2024-03-02 18:05:59.278699,0.12
2024-03-02 18:06:00.302825,0.11
2024-03-02 18:06:01.330639,0.18
2024-03-02 18:06:02.354698,0.13
2024-03-02 18:06:03.378767,0.16
2024-03-02 18:06:04.406439,0.13
2024-03-02 18:06:05.430381,0.11
2024-03-02 18:06:06.458309,0.12
2024-03-02 18:06:07.482341,0.13
2024-03-02 18:06:08.510425,0.16
2024-03-02 18:06:09.534578,0.12
2024-03-02 18:06:10.562494,0.11
2024-03-02 18:06:11.586720,0.12
2024-03-02 18:06:12.610569,0.14
2024-03-02 18:06:13.638543,0.15
2024-03-02 18:06:14.662610,0.12
2024-03-02 18:06:15.690251,0.11
2024-03-02 18:06:16.714404,0.13
2024-03-02 18:06:17.742254,0.16
2024-03-02 18:06:18.766499,0.12
2024-03-02 18:06:19.790137,0.16
2024-03-02 18:06:20.818136,0.17
2024-03-02 18:06:21.842125,0.14
2024-03-02 18:06:22.870033,0.16
2024-03-02 18:06:23.894103,0.1
2024-03-02 18:06:24.922155,0.16
2024-03-02 18:06:25.946358,0.16
2024-03-02 18:06:26.970438,0.18
2024-03-02 18:06:27.998335,0.17
2024-03-02 18:06:29.022401,0.15
2024-03-02 18:06:30.050078,0.2
2024-03-02 18:06:31.074137,0.18
2024-03-02 18:06:32.102113,0.21
2024-03-02 18:06:33.126131,0.15
2024-03-02 18:06:34.150310,0.09
2024-03-02 18:06:35.178092,0.15
2024-03-02 18:06:36.202287,0.1
2024-03-02 18:06:37.229958,0.13
2024-03-02 18:06:38.254317,0.15
2024-03-02 18:06:39.281938,0.15
2024-03-02 18:06:40.306007,0.11
2024-03-02 18:06:41.330076,0.11
2024-03-02 18:06:42.357988,0.17
2024-03-02 18:06:43.382061,0.21
2024-03-02 18:06:44.409845,0.16
2024-03-02 18:06:45.434042,0.1
2024-03-02 18:06:46.461839,0.08
2024-03-02 18:06:47.485896,0.18
2024-03-02 18:06:48.513812,0.12
2024-03-02 18:06:49.537886,0.18
2024-03-02 18:06:50.561947,0.15
2024-03-02 18:06:51.589937,0.11
2024-03-02 18:06:52.613947,0.18
2024-03-02 18:06:53.641728,0.13
2024-03-02 18:06:54.665913,0.15
2024-03-02 18:06:55.693717,0.17
2024-03-02 18:06:56.717789,0.14
2024-03-02 18:06:57.745688,0.14
2024-03-02 18:06:58.769762,0.14
2024-03-02 18:06:59.793828,0.14
2024-03-02 18:07:00.821618,0.21
2024-03-02 18:07:01.845824,0.1
2024-03-02 18:07:02.869909,0.17
2024-03-02 18:07:03.897677,0.11
2024-03-02 18:07:04.921864,0.09
2024-03-02 18:07:05.949510,0.2
2024-03-02 18:07:06.973419,0.22
2024-03-02 18:07:07.997408,0.15
2024-03-02 18:07:09.025404,0.19
2024-03-02 18:07:10.049388,0.16
2024-03-02 18:07:11.077584,0.18
2024-03-02 18:07:12.101752,0.14
2024-03-02 18:07:13.129562,0.12
