Time,Weight
2024-02-24 18:09:34.172824,0.18
2024-02-24 18:09:35.174930,0.19
2024-02-24 18:09:36.177063,0.14
2024-02-24 18:09:37.193976,0.16
2024-02-24 18:09:38.222089,0.16
2024-02-24 18:09:39.246417,0.15
2024-02-24 18:09:40.274212,0.15
2024-02-24 18:09:41.298210,0.14
2024-02-24 18:09:42.322331,0.15
2024-02-24 18:09:43.350237,0.12
2024-02-24 18:09:44.374300,0.13
2024-02-24 18:09:45.402095,0.16
2024-02-24 18:09:46.426294,0.16
2024-02-24 18:09:47.453896,0.14
2024-02-24 18:09:48.478093,0.19
2024-02-24 18:09:49.505931,0.22
2024-02-24 18:09:50.530117,0.2
2024-02-24 18:09:51.554193,0.17
2024-02-24 18:09:52.582135,0.19
2024-02-24 18:09:53.606145,0.11
2024-02-24 18:09:54.633839,0.15
2024-02-24 18:09:55.657989,0.15
2024-02-24 18:09:56.685822,0.18
2024-02-24 18:09:57.710019,0.2
2024-02-24 18:09:58.737797,0.15
2024-02-24 18:09:59.761952,0.22
2024-02-24 18:10:00.786057,0.16
2024-02-24 18:10:01.813807,0.23
2024-02-24 18:10:02.838049,0.2
2024-02-24 18:10:03.865775,0.16
2024-02-24 18:10:04.890029,0.16
2024-02-24 18:10:05.917716,0.2
2024-02-24 18:10:06.941718,0.2
2024-02-24 18:10:07.969623,0.18
2024-02-24 18:10:08.993704,0.17
2024-02-24 18:10:10.017882,0.16
2024-02-24 18:10:11.045450,0.11
2024-02-24 18:10:12.069513,0.19
2024-02-24 18:10:13.097374,0.16
2024-02-24 18:10:14.121456,0.19
2024-02-24 18:10:15.149361,0.17
2024-02-24 18:10:16.173573,0.2
2024-02-24 18:10:17.201512,0.25
2024-02-24 18:10:18.225568,0.14
2024-02-24 18:10:19.249684,0.23
2024-02-24 18:10:20.277564,0.18
2024-02-24 18:10:21.301617,0.2
2024-02-24 18:10:22.329403,0.18
2024-02-24 18:10:23.353598,0.2
2024-02-24 18:10:24.381385,0.21
2024-02-24 18:10:25.405511,0.2
2024-02-24 18:10:26.433373,0.18
2024-02-24 18:10:27.457435,0.21
2024-02-24 18:10:28.481503,0.23
2024-02-24 18:10:29.509422,0.19
2024-02-24 18:10:30.533490,0.19
2024-02-24 18:10:31.561282,0.2
2024-02-24 18:10:32.585464,0.14
2024-02-24 18:10:33.613265,0.16
2024-02-24 18:10:34.637332,0.18
2024-02-24 18:10:35.665100,0.14
2024-02-24 18:10:36.689081,0.19
2024-02-24 18:10:37.713064,0.24
2024-02-24 18:10:38.741126,0.18
2024-02-24 18:10:39.765255,0.21
2024-02-24 18:10:40.793347,0.15
2024-02-24 18:10:41.817312,0.21
2024-02-24 18:10:42.841461,0.18
2024-02-24 18:10:43.869384,0.18
2024-02-24 18:10:44.893478,0.15
2024-02-24 18:10:45.921231,0.22
2024-02-24 18:10:46.945413,0.18
2024-02-24 18:10:47.973208,0.14
2024-02-24 18:10:48.997291,0.17
2024-02-24 18:10:50.025209,0.21
2024-02-24 18:10:51.049217,0.11
2024-02-24 18:10:52.073332,0.18
2024-02-24 18:10:53.101234,0.2
2024-02-24 18:10:54.125318,0.17
2024-02-24 18:10:55.153210,0.2
2024-02-24 18:10:56.177368,0.13
2024-02-24 18:10:57.204956,0.22
2024-02-24 18:10:58.229357,0.19
2024-02-24 18:10:59.256959,0.15
2024-02-24 18:11:00.281195,0.2
2024-02-24 18:11:01.308889,0.18
2024-02-24 18:11:02.333069,0.16
2024-02-24 18:11:03.360857,0.16
2024-02-24 18:11:04.385049,0.15
2024-02-24 18:11:05.409054,0.17
2024-02-24 18:11:06.437054,0.21
2024-02-24 18:11:07.461102,0.15
2024-02-24 18:11:08.488771,0.17
2024-02-24 18:11:09.513094,0.24
2024-02-24 18:11:10.540614,0.16
2024-02-24 18:11:11.564599,0.23
2024-02-24 18:11:12.592584,0.17
2024-02-24 18:11:13.616582,0.2
2024-02-24 18:11:14.644567,0.16
2024-02-24 18:11:15.668827,0.17
2024-02-24 18:11:16.693012,0.2
2024-02-24 18:11:17.720815,0.18
2024-02-24 18:11:18.745105,0.14
2024-02-24 18:11:19.772663,0.23
2024-02-24 18:11:20.797017,0.13
2024-02-24 18:11:21.824651,0.16
2024-02-24 18:11:22.848745,0.17
2024-02-24 18:11:23.876672,0.18
2024-02-24 18:11:24.900720,0.24
2024-02-24 18:11:25.924935,0.19
2024-02-24 18:11:26.952712,0.22
2024-02-24 18:11:27.976908,0.16
2024-02-24 18:11:29.004563,0.21
2024-02-24 18:11:30.028892,0.14
2024-02-24 18:11:31.056577,0.17
2024-02-24 18:11:32.080665,0.25
2024-02-24 18:11:33.108577,0.25
2024-02-24 18:11:34.132604,0.2
2024-02-24 18:11:35.160514,0.17
2024-02-24 18:11:36.184587,0.22
2024-02-24 18:11:37.212350,0.16
2024-02-24 18:11:38.236273,0.13
2024-02-24 18:11:39.260256,0.22
2024-02-24 18:11:40.288263,0.18
2024-02-24 18:11:41.312484,0.17
