Time,Weight
2024-03-09 12:10:34.772910,0.06
2024-03-09 12:10:35.796881,0.07
2024-03-09 12:10:36.824857,0.08
2024-03-09 12:10:37.848843,0.07
2024-03-09 12:10:38.876976,0.05
2024-03-09 12:10:39.901173,0.05
2024-03-09 12:10:40.928999,0.09
2024-03-09 12:10:41.953092,0.09
2024-03-09 12:10:42.977179,0.01
2024-03-09 12:10:44.005092,0.17
2024-03-09 12:10:45.029137,0.03
2024-03-09 12:10:46.057043,0.07
2024-03-09 12:10:47.081227,0.03
2024-03-09 12:10:48.108899,0.05
2024-03-09 12:10:49.133205,0.06
2024-03-09 12:10:50.160890,0.11
2024-03-09 12:10:51.185206,0.09
2024-03-09 12:10:52.212871,0.0
2024-03-09 12:10:53.237267,0.08
2024-03-09 12:10:54.264872,0.11
2024-03-09 12:10:55.288886,0.11
2024-03-09 12:10:56.316818,0.07
2024-03-09 12:10:57.340868,0.07
2024-03-09 12:10:58.368775,0.09
2024-03-09 12:10:59.392833,0.06
2024-03-09 12:11:00.417055,0.07
2024-03-09 12:11:01.444978,0.07
2024-03-09 12:11:02.469030,0.02
2024-03-09 12:11:03.496950,0.15
2024-03-09 12:11:04.520998,0.08
2024-03-09 12:11:05.548929,0.09
2024-03-09 12:11:06.573035,0.1
2024-03-09 12:11:07.600655,0.08
2024-03-09 12:11:08.624981,0.11
2024-03-09 12:11:09.652658,0.02
2024-03-09 12:11:10.676956,0.09
2024-03-09 12:11:11.704622,0.06
2024-03-09 12:11:12.728954,0.04
2024-03-09 12:11:13.756613,0.11
2024-03-09 12:11:14.780945,0.11
2024-03-09 12:11:15.808706,0.14
2024-03-09 12:11:16.832799,0.16
2024-03-09 12:11:17.860719,0.12
2024-03-09 12:11:18.884807,0.1
2024-03-09 12:11:19.912719,0.13
2024-03-09 12:11:20.936791,0.13
2024-03-09 12:11:21.964724,0.13
2024-03-09 12:11:22.988761,0.12
2024-03-09 12:11:24.012888,0.15
2024-03-09 12:11:25.040789,0.11
2024-03-09 12:11:26.064856,0.07
2024-03-09 12:11:27.092737,0.11
2024-03-09 12:11:28.120568,0.09
2024-03-09 12:11:29.144389,0.16
2024-03-09 12:11:30.172338,0.14
2024-03-09 12:11:31.196309,0.15
2024-03-09 12:11:32.224304,0.04
2024-03-09 12:11:33.248306,0.17
2024-03-09 12:11:34.276542,0.15
2024-03-09 12:11:35.300529,0.12
2024-03-09 12:11:36.354164,0.16
2024-03-09 12:11:37.356234,0.1
2024-03-09 12:11:38.376262,0.14
2024-03-09 12:11:39.404238,0.13
2024-03-09 12:11:40.428474,0.14
2024-03-09 12:11:41.456400,0.1
2024-03-09 12:11:42.480714,0.11
2024-03-09 12:11:43.508360,0.17
2024-03-09 12:11:44.532698,0.13
2024-03-09 12:11:45.560312,0.13
2024-03-09 12:11:46.584674,0.12
2024-03-09 12:11:47.612304,0.15
2024-03-09 12:11:48.636634,0.11
2024-03-09 12:11:49.664300,0.11
2024-03-09 12:11:50.688319,0.15
2024-03-09 12:11:51.716271,0.16
2024-03-09 12:11:52.740530,0.16
2024-03-09 12:11:53.764660,0.14
2024-03-09 12:11:54.792392,0.13
2024-03-09 12:11:55.816563,0.13
2024-03-09 12:11:56.844497,0.15
2024-03-09 12:11:57.868507,0.16
2024-03-09 12:11:58.896578,0.22
2024-03-09 12:11:59.920658,0.13
2024-03-09 12:12:00.948171,0.12
2024-03-09 12:12:01.972522,0.2
2024-03-09 12:12:03.000278,0.14
2024-03-09 12:12:04.024529,0.1
2024-03-09 12:12:05.052250,0.16
2024-03-09 12:12:06.076474,0.18
2024-03-09 12:12:07.104277,0.16
2024-03-09 12:12:08.128310,0.21
2024-03-09 12:12:09.156260,0.22
2024-03-09 12:12:10.180288,0.12
2024-03-09 12:12:11.208202,0.2
2024-03-09 12:12:12.232281,0.15
2024-03-09 12:12:13.260204,0.05
2024-03-09 12:12:14.284263,0.18
2024-03-09 12:12:15.311989,0.17
2024-03-09 12:12:16.336230,0.23
2024-03-09 12:12:17.364030,0.15
2024-03-09 12:12:18.388182,0.08
2024-03-09 12:12:19.415995,0.22
2024-03-09 12:12:20.440109,0.16
2024-03-09 12:12:21.468013,0.18
2024-03-09 12:12:22.492063,0.18
2024-03-09 12:12:23.520028,0.17
2024-03-09 12:12:24.544051,0.18
2024-03-09 12:12:25.571946,0.18
2024-03-09 12:12:26.596030,0.08
2024-03-09 12:12:27.623984,0.25
2024-03-09 12:12:28.648121,0.15
2024-03-09 12:12:29.675761,0.22
2024-03-09 12:12:30.699739,0.2
2024-03-09 12:12:31.723764,0.21
2024-03-09 12:12:32.751699,0.13
2024-03-09 12:12:33.776183,0.2
2024-03-09 12:12:34.803940,0.16
2024-03-09 12:12:35.828092,0.15
2024-03-09 12:12:36.856031,0.11
2024-03-09 12:12:37.879811,0.18
2024-03-09 12:12:38.907716,0.15
2024-03-09 12:12:39.931689,0.16
2024-03-09 12:12:40.959720,0.2
2024-03-09 12:12:41.983941,0.26
2024-03-09 12:12:43.012037,0.15
2024-03-09 12:12:44.036090,0.21
2024-03-09 12:12:45.064006,0.07
2024-03-09 12:12:46.088071,0.12
2024-03-09 12:12:47.115860,0.22
2024-03-09 12:12:48.140045,0.2
2024-03-09 12:12:49.167864,0.23
2024-03-09 12:12:50.192021,0.22
2024-03-09 12:12:51.219831,0.22
2024-03-09 12:12:52.244008,0.17
