Time,Weight
2024-03-10 12:06:35.488731,0.09
2024-03-10 12:06:36.512589,0.17
2024-03-10 12:06:37.540527,0.26
2024-03-10 12:06:38.564516,0.16
2024-03-10 12:06:39.592529,0.2
2024-03-10 12:06:40.616786,0.18
2024-03-10 12:06:41.640929,0.19
2024-03-10 12:06:42.668636,0.22
2024-03-10 12:06:43.692842,0.64
2024-03-10 12:06:44.720615,0.2
2024-03-10 12:06:45.744731,0.17
2024-03-10 12:06:46.768772,0.11
2024-03-10 12:06:47.796678,0.14
2024-03-10 12:06:48.820738,0.13
2024-03-10 12:06:49.848549,0.1
2024-03-10 12:06:50.872628,0.07
2024-03-10 12:06:51.900541,0.1
2024-03-10 12:06:52.924603,0.1
2024-03-10 12:06:53.948663,0.2
2024-03-10 12:06:54.976636,0.1
2024-03-10 12:06:56.000658,0.21
2024-03-10 12:06:57.028408,0.12
2024-03-10 12:06:58.052502,0.19
2024-03-10 12:06:59.080373,0.15
2024-03-10 12:07:00.104488,0.16
2024-03-10 12:07:01.128462,0.21
2024-03-10 12:07:02.156508,0.16
2024-03-10 12:07:03.180548,0.04
2024-03-10 12:07:04.208287,0.23
2024-03-10 12:07:05.232388,0.16
2024-03-10 12:07:06.260292,0.15
2024-03-10 12:07:07.284352,0.2
2024-03-10 12:07:08.308432,0.25
2024-03-10 12:07:09.336228,0.19
2024-03-10 12:07:10.360288,0.15
2024-03-10 12:07:11.388208,0.19
2024-03-10 12:07:12.412268,0.14
2024-03-10 12:07:13.436284,0.17
2024-03-10 12:07:14.464198,0.21
2024-03-10 12:07:15.488363,0.11
2024-03-10 12:07:16.516131,0.14
2024-03-10 12:07:17.540174,0.16
2024-03-10 12:07:18.564248,0.25
2024-03-10 12:07:19.592170,0.23
2024-03-10 12:07:20.616302,0.15
2024-03-10 12:07:21.644023,0.18
2024-03-10 12:07:22.668088,0.18
2024-03-10 12:07:23.695987,0.14
2024-03-10 12:07:24.720064,0.1
2024-03-10 12:07:25.744117,0.1
2024-03-10 12:07:26.771922,0.16
2024-03-10 12:07:27.796080,0.19
2024-03-10 12:07:28.823938,0.18
2024-03-10 12:07:29.847979,0.05
2024-03-10 12:07:30.871734,0.12
2024-03-10 12:07:31.899710,0.18
2024-03-10 12:07:32.923676,0.18
2024-03-10 12:07:33.951631,0.22
2024-03-10 12:07:34.976152,0.1
2024-03-10 12:07:36.003840,0.16
2024-03-10 12:07:37.027722,0.15
2024-03-10 12:07:38.051620,0.22
2024-03-10 12:07:39.079591,0.11
2024-03-10 12:07:40.103675,0.14
2024-03-10 12:07:41.131540,0.21
2024-03-10 12:07:42.156038,0.15
2024-03-10 12:07:43.183674,0.1
2024-03-10 12:07:44.207777,0.14
2024-03-10 12:07:45.231834,0.21
2024-03-10 12:07:46.259766,0.16
2024-03-10 12:07:47.283954,0.19
2024-03-10 12:07:48.311627,0.18
2024-03-10 12:07:49.335923,0.2
2024-03-10 12:07:50.363597,0.19
2024-03-10 12:07:51.387719,0.19
2024-03-10 12:07:52.411860,0.11
2024-03-10 12:07:53.439603,0.21
2024-03-10 12:07:54.463842,0.14
2024-03-10 12:07:55.491522,0.2
2024-03-10 12:07:56.515516,0.18
2024-03-10 12:07:57.543440,0.18
2024-03-10 12:07:58.567493,0.23
2024-03-10 12:07:59.591741,0.21
2024-03-10 12:08:00.619380,0.27
2024-03-10 12:08:01.643694,0.2
2024-03-10 12:08:02.671342,0.18
2024-03-10 12:08:03.695407,0.25
2024-03-10 12:08:04.719595,0.19
2024-03-10 12:08:05.747407,0.12
2024-03-10 12:08:06.771572,0.18
2024-03-10 12:08:07.799242,0.23
2024-03-10 12:08:08.823547,0.12
